oenocomponent,object,service,grade
Service,5 senses,Sight,7
Service,5 senses,Hearing,7
Service,5 senses,Taste,4
Service,5 senses,Touch,7
Service,5 senses,Smell,8
Service,5 senses,6th sense,10
Service,Luxury,Heritage,5
Service,Luxury,Brand,4
Service,Luxury,Pleasure,5
Service,Luxury,Transcendence,2
Service,Luxury,Unique,1
Service,Luxury,Bespoke,3
Service,Luxury,Craftman,1
Service,Luxury,Beauty,8
Service,Tourism,Sustainable,5
Service,Tourism,Authenticity,9
Service,Tourism,Discovery,2
Service,Tourism,Comfort,5
Service,Tourism,Freedom,1
Service,Tourism,Educationnal,6
Service,Client's implication,Absorption,6
Service,Client's implication,Immersion,7
Service,Client's implication,Passive,2
Service,Client's implication,Active,8
Service,Client typology,Neophyte,2
Service,Client typology,Hobbyist,5
Service,Client typology,Aficionado,4
Service,Service,Welcome,8
Service,Service,Speech,8
Service,Service,Loyalty program,8
Other,5 senses,Sight,8
Other,5 senses,Hearing,7
Other,5 senses,Taste,3
Other,5 senses,Touch,9
Other,5 senses,Smell,3
Other,5 senses,6th sense,1
Other,Luxury,Heritage,5
Other,Luxury,Brand,7
Other,Luxury,Pleasure,9
Other,Luxury,Transcendence,5
Other,Luxury,Unique,5
Other,Luxury,Bespoke,5
Other,Luxury,Craftman,1
Other,Luxury,Beauty,1
Other,Tourism,Sustainable,7
Other,Tourism,Authenticity,6
Other,Tourism,Discovery,5
Other,Tourism,Comfort,3
Other,Tourism,Freedom,3
Other,Tourism,Educationnal,8
Other,Client's implication,Absorption,6
Other,Client's implication,Immersion,6
Other,Client's implication,Passive,4
Other,Client's implication,Active,8
Other,Client typology,Neophyte,10
Other,Client typology,Hobbyist,4
Other,Client typology,Aficionado,8
Other,Service,Welcome,6
Other,Service,Speech,2
Other,Service,Loyalty program,3
F&B,5 senses,Sight,7
F&B,5 senses,Hearing,2
F&B,5 senses,Taste,7
F&B,5 senses,Touch,4
F&B,5 senses,Smell,4
F&B,5 senses,6th sense,5
F&B,Luxury,Heritage,5
F&B,Luxury,Brand,9
F&B,Luxury,Pleasure,7
F&B,Luxury,Transcendence,8
F&B,Luxury,Unique,5
F&B,Luxury,Bespoke,7
F&B,Luxury,Craftman,5
F&B,Luxury,Beauty,8
F&B,Tourism,Sustainable,10
F&B,Tourism,Authenticity,3
F&B,Tourism,Discovery,4
F&B,Tourism,Comfort,9
F&B,Tourism,Freedom,5
F&B,Tourism,Educationnal,6
F&B,Client's implication,Absorption,10
F&B,Client's implication,Immersion,3
F&B,Client's implication,Passive,9
F&B,Client's implication,Active,8
F&B,Client typology,Neophyte,8
F&B,Client typology,Hobbyist,6
F&B,Client typology,Aficionado,1
F&B,Service,Welcome,10
F&B,Service,Speech,9
F&B,Service,Loyalty program,9
Tasting,5 senses,Sight,1
Tasting,5 senses,Hearing,4
Tasting,5 senses,Taste,2
Tasting,5 senses,Touch,3
Tasting,5 senses,Smell,10
Tasting,5 senses,6th sense,3
Tasting,Luxury,Heritage,6
Tasting,Luxury,Brand,3
Tasting,Luxury,Pleasure,6
Tasting,Luxury,Transcendence,1
Tasting,Luxury,Unique,2
Tasting,Luxury,Bespoke,8
Tasting,Luxury,Craftman,9
Tasting,Luxury,Beauty,9
Tasting,Tourism,Sustainable,7
Tasting,Tourism,Authenticity,2
Tasting,Tourism,Discovery,5
Tasting,Tourism,Comfort,8
Tasting,Tourism,Freedom,5
Tasting,Tourism,Educationnal,2
Tasting,Client's implication,Absorption,8
Tasting,Client's implication,Immersion,1
Tasting,Client's implication,Passive,7
Tasting,Client's implication,Active,4
Tasting,Client typology,Neophyte,6
Tasting,Client typology,Hobbyist,3
Tasting,Client typology,Aficionado,5
Tasting,Service,Welcome,2
Tasting,Service,Speech,9
Tasting,Service,Loyalty program,7
Vineyards,5 senses,Sight,1
Vineyards,5 senses,Hearing,8
Vineyards,5 senses,Taste,4
Vineyards,5 senses,Touch,2
Vineyards,5 senses,Smell,8
Vineyards,5 senses,6th sense,7
Vineyards,Luxury,Heritage,7
Vineyards,Luxury,Brand,5
Vineyards,Luxury,Pleasure,1
Vineyards,Luxury,Transcendence,1
Vineyards,Luxury,Unique,10
Vineyards,Luxury,Bespoke,5
Vineyards,Luxury,Craftman,8
Vineyards,Luxury,Beauty,7
Vineyards,Tourism,Sustainable,7
Vineyards,Tourism,Authenticity,6
Vineyards,Tourism,Discovery,9
Vineyards,Tourism,Comfort,10
Vineyards,Tourism,Freedom,7
Vineyards,Tourism,Educationnal,9
Vineyards,Client's implication,Absorption,9
Vineyards,Client's implication,Immersion,6
Vineyards,Client's implication,Passive,4
Vineyards,Client's implication,Active,6
Vineyards,Client typology,Neophyte,10
Vineyards,Client typology,Hobbyist,10
Vineyards,Client typology,Aficionado,9
Vineyards,Service,Welcome,7
Vineyards,Service,Speech,3
Vineyards,Service,Loyalty program,10
